Ex max (nm),Em max (nm),Stokes Shift (nm),Extinction Coefficient,Quantum Yield,Brightness
383.0,448.0,65.0,32000.0,0.56,17.92
435.0,477.0,42.0,35000.0,0.51,17.85
589.0,609.0,20.0,111300.0,0.16,17.81
400.0,510.0,110.0,36900.0,0.48,17.71
446.0,611.0,165.0,65000.0,0.27,17.55
528.0,594.0,66.0,27000.0,0.65,17.55
458.0,560.0,102.0,35000.0,0.5,17.5
583.0,630.0,47.0,50000.0,0.35,17.5
589.0,610.0,21.0,79400.0,0.22,17.47
385.0,448.0,63.0,31000.0,0.56,17.36
385.0,448.0,63.0,31000.0,0.56,17.36
455.0,555.0,100.0,41200.0,0.42,17.3
456.0,484.0,28.0,35300.0,0.48,16.94
453.0,486.0,33.0,21100.0,0.8,16.88
505.0,524.0,19.0,20000.0,0.84,16.8
433.0,474.0,41.0,30000.0,0.56,16.8
587.0,637.0,50.0,72000.0,0.23,16.56
604.0,659.0,55.0,87000.0,0.19,16.53
549.0,570.0,21.0,38100.0,0.43,16.38
385.0,456.0,71.0,36000.0,0.45,16.2
433.0,475.0,42.0,33000.0,0.49,16.17
380.0,446.0,66.0,34000.0,0.47,15.98
461.0,492.0,31.0,21200.0,0.75,15.9
529.0,541.0,12.0,23000.0,0.69,15.87
587.0,610.0,23.0,72000.0,0.22,15.84
592.0,650.0,58.0,65000.0,0.24,15.6
487.0,503.0,16.0,26000.0,0.6,15.6
396.0,508.0,112.0,18300.0,0.85,15.55
470.0,496.0,26.0,22150.0,0.7,15.5
433.0,474.0,41.0,30000.0,0.5,15.0
554.0,591.0,37.0,35600.0,0.42,14.95
588.0,635.0,47.0,45000.0,0.33,14.85
551.0,592.0,41.0,74000.0,0.2,14.8
398.0,511.0,113.0,38700.0,0.38,14.71
589.0,631.0,42.0,90400.0,0.16,14.46
383.0,447.0,64.0,26200.0,0.55,14.41
643.0,670.0,27.0,103000.0,0.136,14.01
343.0,414.0,71.0,20000.0,0.7,14.0
490.0,600.0,110.0,45000.0,0.31,13.95
661.0,680.0,19.0,94000.0,0.145,13.63
433.0,475.0,42.0,33000.0,0.41,13.53
600.0,650.0,50.0,67000.0,0.2,13.4
555.0,586.0,31.0,30300.0,0.44,13.33
383.0,447.0,64.0,27400.0,0.48,13.15
460.0,592.0,132.0,28500.0,0.46,13.11
434.0,477.0,43.0,32500.0,0.4,13.0
529.0,539.0,10.0,20000.0,0.65,13.0
600.0,650.0,50.0,72000.0,0.18,12.96
598.0,625.0,27.0,86000.0,0.15,12.9
476.0,500.0,24.0,91000.0,0.14,12.74
470.0,598.0,128.0,30200.0,0.42,12.68
554.0,586.0,32.0,30100.0,0.42,12.64
643.0,670.0,27.0,114000.0,0.11,12.54
584.0,607.0,23.0,50000.0,0.25,12.5
588.0,639.0,51.0,69000.0,0.18,12.42
642.0,670.0,28.0,87400.0,0.14,12.24
642.0,670.0,28.0,87400.0,0.14,12.24
401.0,458.0,57.0,15407.0,0.79,12.17
504.0,516.0,12.0,56600.0,0.214,12.11
500.0,512.0,12.0,121000.0,0.1,12.1
433.0,475.0,42.0,18000.0,0.67,12.06
399.0,511.0,112.0,20000.0,0.6,12.0
434.0,474.0,40.0,29000.0,0.41,11.89
555.0,569.0,14.0,32900.0,0.35,11.52
568.0,585.0,17.0,38000.0,0.3,11.4
